,0,1,2,3,4,5,6,7,8,9
0,While addressing others' needs you are: Inflexible and stick to your needs,0,0,3,0,0,1,2,3,-1
1,While addressing others' needs you are: Flexible and alter your needs to make others happy,0,3,0,0,0,0,0,0,3
2,You are self sufficient in the sense : Completely independent of others,0,0,0,0,0,-2,0,-1,3
3,You are self sufficient in the sense : Interdependent and connected with others,0,3,0,0,0,0,0,0,3
4,In your dealings you :  Overcome your personal terms and follow principles to do what is right,3,0,0,0,0,0,-1,0,0
5,"In your dealings you :  Prefer personal terms, sometimes not going by principles",0,0,0,0,0,0,-1,0,0
6,Your drive to improve comes from: Inner critic to do what is judged as right,0,0,0,0,0,0,0,0,0
7,Your drive to improve comes from: Drive to succeed and be recognized for your accomplishments,0,0,3,0,0,0,0,3,-1
8,In the process of achieving a goal : You find the method to do it perfectly and stick to it until it succeeds,3,0,0,0,3,1,-1,3,0
9,"In the process of achieving a goal : You find the most efficient/ fastest possible method and in case it doesnot work , you change the method quickly to achieve the desired result",3,0,3,0,3,3,-1,3,0
10,While irritated or emotionally disturbed at work You tend to express your emotions openly and people are easily aware of it,0,-1,0,3,0,0,0,0,0
11,While irritated or emotionally disturbed at work You are not usually distracted by your feelings without people being aware of your emotional state,0,-1,0,-3,0,0,0,0,0
12,You tend to Suppress personal desires and become self constrained,0,3,0,0,0,-2,0,0,0
13,You tend to Experience strong personal desires to the point of being self-absorbed (disconnected from outside world),0,0,0,3,0,0,0,0,0
14,You Focus on responsibilities before emotions,0,0,0,0,0,0,0,0,0
15,You Sort out emotions and then complete duties effectively,-2,0,0,0,-2,-2,2,3,1
16,"You get irritated of others when They are inefficient ,sloppy",-2,0,0,0,-2,0,0,0,1
17,You get irritated of others when They are insensitive to oneself and you,0,-1,0,0,0,0,0,0,0
18,You tend to suppress your desires or detach from feelings to To improve yourself and others,0,3,0,3,0,0,0,0,0
19,You tend to suppress your desires or detach from feelings to To protect yourself from being intruded and conserve your energy,-2,-1,0,0,0,0,0,0,0
20,You tend to judge people on Activities governed by their internal standards of right and wrong,3,0,0,0,0,0,0,0,0
21,"You tend to judge people on Intellectual matters,knowledge and competence",0,0,0,0,0,0,2,0,0
22,How do you deal with people who you think are wrong or whom you do not like you are convinced why you are correct and make efforts to make people understand that,-2,-1,0,-3,-2,0,2,0,0
23,How do you deal with people who you think are wrong or whom you do not like You are not certain about your views and do not worry much if they do not agree with your view,3,0,0,0,0,0,0,0,0
24,How do you prevent yourself from committing mistakes?  Comparing things to find out what is correct in order to avoid criticism,0,0,0,-3,0,1,0,0,0
25,How do you prevent yourself from committing mistakes?  Doubting and trying to find out the potential threats in order to gain sense of safety and security,3,0,0,0,3,3,0,0,-1
26,While taking decisions you are Mostly sure and have one right way of doing something,-2,0,0,0,-2,-2,-1,-1,0
27,While taking decisions you are generally unsure of the way to take and consider many ways of doing something,0,0,0,0,-2,-2,-1,0,0
28,How do you deal with your negative feelings You can control negative feelings and keep negative feelings at bay  ,0,-1,0,0,0,0,0,-1,0
29,How do you deal with your negative feelings You find it difficult to ignore negative feelings ,0,-1,0,-3,0,0,0,-1,0
30,How do you deal with your desires? You are self restrained and limit your desires,0,-1,0,0,0,0,0,1,0
31,How do you deal with your desires? You are are fun loving and strongly dislike limits on your desires,0,-1,0,0,0,0,-3,0,0
32,"How do you like to lead your life? Be self controlled,focussed , do not like to deviate from careful preparations/plans and particular about time and procedures,reserved",0,-1,0,0,-1,0,0,0,0
33,"How do you like to lead your life? Be adventurous,spontaneous, follow your inspiration and do not like to stick to plans,not particular about procedures,open minded,flexible",0,0,0,-3,-1,0,-1,-1,0
34,"How do you perceive your future? You know your mission clearly and have set high standards for achieving it , thus expect to be disappointed,practical",2,0,0,0,0,1,2,3,0
35,"How do you perceive your future? Your mission is a feeling/desire and you hope that you will achieve it , think positive,optimistic",3,0,-2,0,0,0,2,3,0
36,How do you deal with anger? You suppress anger and shows it when you think it is right,-2,-1,0,0,0,0,0,0,3
37,How do you deal with anger? You express your anger on the spot and openly,0,0,0,0,0,0,0,-1,-3
38,What according to you makes people agree to your views/how do you do it? You put logical reasons and arguments and try to convince them,3,0,0,0,3,1,2,1,-1
39,"What according to you makes people agree to your views/how do you do it? You rely on your self confidence and sheer personality,engaging them with gusty conversations",0,0,0,0,0,0,0,3,0
40,What is the first step in establishing justice according to you? To reward those who do good and punish the wrongdoers.,3,0,0,0,0,0,-1,0,0
41,What is the first step in establishing justice according to you? To establish equality in terms of power/authority,3,0,0,0,0,0,0,0,0
42,"You Are not easily convinced to take a break,do not allow yourself to be unproductive",0,0,0,0,-1,0,-1,0,0
43,You Are easily convinced to take a break from work which will be useful,0,0,0,0,0,0,2,-2,1
44,You Do not compromise with your principles to avoid conflicts,3,0,0,0,0,0,0,0,-1
45,You Do not want to get into conflicts with your loved ones and hold on your strong opinions to yourself,0,-1,0,0,0,0,0,0,1
46,"You Hold on to your principles and ideals, always want to improve others and press for change",3,0,0,0,0,0,-1,0,-1
