,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
0,It's really challenging for a teacher to balance and survive in a very frequently changing (daily basis)  academic policies and time table for teachers . But we balance ourselves in the environment of doubt and suspense by the management towards the teachers. They are openly announcing that teachers are not very important for the management any time they can force teachers to submit  their resignation  paper or can terminate them. We manage ourselves every day from the first hour of our joining to last moment of our job tenure at that organizations with full of uncertainty and insecurities of job. I really enjoy it I am really thankful to the management of DPS Mahendragarh for giving me the opportunity to serve them.,"Huge partiality politics and unhealthy work environment. No proper planning and academic management, highly regional mindset of the management. Huge partiality in salary increment promotion and opportunities.",0,0,1,1,1,1,1,5
1,Tension free job. One would have enough time for learning and exploring the subject knowledge.,"No job security in DPS, Chhindwara. Always the management points out with silly reasons which would be no way useful for the upliftment of the school or employ. No proper management skills. Employs in administration department always disturbs the Teachers mental patience. Lot of discrimination between North and South Indians. Teacher can explore his / her knowledge by reading books or by practicing him /her self but not because of students. Very indisciplined campus. The head of the school never takes care of any useful things. Principal is a puppet in one word, Principal completely acts according to his higher authorities whatever they say and doesn't even use his commonsense for any issue. 
The main point I would like to mention here is, they recruit teachers coming to Hyderabad or some other places. After going there, they will give you target to complete the syllabus by November end or December first week. Then, they will show some reason and fire the faculty who was recruited from out with higher salaries. Now, they recruit someone for completing the revision work for CBSE board exam by paying less salaries. All just the business they do.",1,0,1,1,1,0,1,5
2,"Job security, as usually found in Corporates and Private sector, depends on the performance of employees. Work Environment is good enough but one has to avoid being victim of nasty Politics. Salary and Appraisal is also good but negotiation is a tool for greater success. There are opportunities for Career growth but that needs optimum efficiency in respective field.","Salary and Appraisal should be more lucrative, logical, effective and affirmative which may show employees a fairly secured future. Growth is quite slow. Perks and Facilities, excluding the Salary Package, should be little more effective and financially helpful in nature. Salary increment is an area of doubt at times which effect adversely in retention of employees. Sometimes Suggestions and Innovations go unnoticed. Lack of necessary manpower and efficient hands in Administration is a huge shortcoming and the area of HR/PR/Liaison/Clerical Works and School Administration seems highly underrated.",0,0,1,0,1,1,0,3
3,"DPS Patna standards second to none in the country in terms of training . oppoutunities . work culture and job satisfaction. The management has a great vision in terms of equipping , enriching,  investing and sharpening the skills of the team members.Exposure to various methodologies of teaching, organizing workshops , sharpening the skills of teachers and making them learners is the motto of theorganization. Every time it invents procedures and reinvents so that the systems impoves.It is a great learning pad.",The people who do not want to take initiatives and are happy only doing routine work will dislike the place,1,0,0,1,0,1,1,4
4,Salary is good only,We are working as a student  always we are learning from outsider trainer came and teach us many types of workshop done by management,1,0,1,0,0,0,0,2
5,"I am good with my teammates, there are no training for me , work experience is my training , every day learning new things, self motivation is my power. It is my job security, work environment is normal, my work life balance is good. Looking Hostal facilities, cafeteria service management also.","There is very slow career growth, no appraisal, salary increase according to policy of company. Still I am on contact baises.",1,1,1,0,1,1,0,5
6,A very good exposure and very nice working environment,Colleagues are not supportive.They have a very different type of political competition among the department trying to emerge as the best suppressing others very badly.School Authority is not at supportive.,0,0,0,1,0,0,0,1
7,Very Good school for professional development. Good experience working with DPS Nadergul. Lucky and happy to be a part of DPS NADERGUL,Salaries should have been good,0,0,1,0,0,1,0,2
8,The Principal gives us freedom to work and do our best with the students.No interference  at all .,"From 2017 our new Principal has joined. He is trying to make good changes.Benefits are better, but before 2017 there was lot of partiality by the previous principal and promotions were given to only those who were close to her. Behaviour of Admin staff not good.",0,0,1,1,0,0,0,2
9,DPSRKP IS MY SECOND HOME.IT IS A OCEAN OF KNOWLEDGE TO GET LEARNING EXPERIENCE .I LOVE STILL TOBE A PART OF MY SCHOOL.I LOVE MY SENIORS THEY ARE MY PARENTS LIKE THEY CARE FOR MEEXCELLENT SCHOOL,Some people feel jealous of your progress,1,0,0,0,0,0,0,1
